rank,star,status,status_datetime,officer_id,trr_id
SERGEANT,1228,,2016-04-22 05:10:00 AM,,96595
LIEUTENANT,728,,2016-04-22 05:47:00 AM,,96595
OFFICER,11507,,2016-04-22 05:40:00 AM,,96596
SERGEANT,1228,,2016-04-22 05:42:00 AM,,96596
LIEUTENANT,728,,2016-04-22 05:46:00 AM,,96596
OFFICER,15363,,2016-04-21 04:47:00 PM,,96597
SERGEANT,934,,2016-04-21 04:49:00 PM,,96597
LIEUTENANT,617,,2016-04-22 05:06:00 AM,,96597
OFFICER,7861,,2016-04-21 04:40:00 PM,,96598
SERGEANT,934,,2016-04-21 04:45:00 PM,,96598
LIEUTENANT,617,,2016-04-22 05:09:00 AM,,96598
OFFICER,5463,,2016-04-22 08:05:00 AM,,96599
SERGEANT,1142,,2016-04-22 08:17:00 AM,,96599
LIEUTENANT,755,,2016-04-22 01:12:00 PM,,96599
OFFICER,8468,,2016-04-22 11:10:00 AM,,96602
SERGEANT,1382,,2016-04-22 11:11:00 AM,,96602
LIEUTENANT,252,,2016-04-22 11:30:00 AM,,96602
OFFICER,13488,,2016-04-22 11:08:00 AM,,96603
SERGEANT,1382,,2016-04-22 11:12:00 AM,,96603
LIEUTENANT,252,,2016-04-22 11:31:00 AM,,96603
SERGEANT,1382,,2016-04-22 11:05:00 AM,,96604
LIEUTENANT,252,,2016-04-22 11:31:00 AM,,96604
LIEUTENANT,252,,2016-04-22 11:32:00 AM,,96604
OFFICER,11790,,2016-04-22 07:57:00 AM,,96608
SERGEANT,1969,,2016-04-22 07:57:00 AM,,96608
LIEUTENANT,339,,2016-04-22 08:27:00 AM,,96608
OFFICER,19975,,2016-04-22 09:39:00 AM,,96612
SERGEANT,1366,,2016-04-22 12:22:00 AM,,96612
LIEUTENANT,534,,2016-04-23 02:57:00 PM,,96612
OFFICER,6964,,2016-04-22 09:40:00 AM,,96613
SERGEANT,1366,,2016-04-22 12:21:00 AM,,96613
LIEUTENANT,534,,2016-04-23 02:59:00 PM,,96613
OFFICER,16681,,2016-04-22 09:52:00 AM,,96614
SERGEANT,1366,,2016-04-22 12:23:00 AM,,96614
LIEUTENANT,534,,2016-04-23 02:58:00 PM,,96614
OFFICER,17364,,2016-04-22 10:02:00 AM,,96615
SERGEANT,1366,,2016-04-22 12:25:00 AM,,96615
LIEUTENANT,534,,2016-04-23 02:58:00 PM,,96615
OFFICER,11423,,2016-04-22 10:35:00 AM,,96616
SERGEANT,2104,,2016-04-22 10:36:00 AM,,96616
LIEUTENANT,537,,2016-04-22 10:49:00 AM,,96616
OFFICER,14640,,2016-04-22 10:35:00 AM,,96617
SERGEANT,2104,,2016-04-22 10:37:00 AM,,96617
LIEUTENANT,537,,2016-04-22 10:50:00 AM,,96617
OFFICER,19809,,2016-04-22 03:18:00 PM,,96618
SERGEANT,2462,,2016-04-22 03:21:00 PM,,96618
LIEUTENANT,220,,2016-04-22 03:36:00 PM,,96618
OFFICER,9365,,2016-04-22 01:24:00 PM,,96620
LIEUTENANT,249,,2016-04-22 02:02:00 PM,,96620
LIEUTENANT,249,,2016-04-22 02:04:00 PM,,96620
SERGEANT,1282,,2016-04-22 01:46:00 PM,,96621
LIEUTENANT,249,,2016-04-22 01:59:00 PM,,96621
LIEUTENANT,249,,2016-04-22 02:01:00 PM,,96621
OFFICER,18998,,2016-04-22 01:45:00 PM,,96622
LIEUTENANT,249,,2016-04-22 02:03:00 PM,,96622
LIEUTENANT,249,,2016-04-22 02:04:00 PM,,96622
OFFICER,17787,,2016-04-23 09:21:00 AM,,96623
SERGEANT,1542,,2016-04-23 09:24:00 AM,,96623
LIEUTENANT,380,,2016-04-23 09:41:00 AM,,96623
OFFICER,19913,,2016-04-23 09:22:00 AM,,96624
SERGEANT,1542,,2016-04-23 09:25:00 AM,,96624
LIEUTENANT,380,,2016-04-23 09:52:00 AM,,96624
OFFICER,17317,,2016-04-23 09:10:00 AM,,96625
SERGEANT,1730,,2016-04-23 09:17:00 AM,,96625
LIEUTENANT,396,,2016-04-23 09:55:00 AM,,96625
OFFICER,10643,,2016-04-23 08:49:00 AM,,96626
SERGEANT,1730,,2016-04-23 08:58:00 AM,,96626
LIEUTENANT,396,,2016-04-23 09:54:00 AM,,96626
OFFICER,18666,,2016-04-23 11:24:00 AM,,96627
SERGEANT,1764,,2016-04-23 11:31:00 AM,,96627
LIEUTENANT,743,,2016-04-23 11:40:00 AM,,96627
